Time Posted,Image URL,Instagram Post ,Caption,Media Type,Engagement,Followers,Impressions,Reach,Likes,Comments,Saves,Video Views
08-16-2022 20:30:28,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299431020_1089177572034667_7883581449271261520_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=E3Hc89Ynd7MAX-hgSuA&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8zOyD0iB-neJrD9WsbAJMHwTd1nPE0Ez6xQ-1fQEnAog&oe=6300D505,https://www.instagram.com/p/ChVXcoZs7Yb/,"Piertotum Locomotor can be used to charm anything the caster wants, so long as it is an inanimate object. Before Professor McGonagall used it to defend the school against Voldemort's army, it was seen doing relatively mundane things. Molly Weasley was known to use the spell to animate her dustpan to pick up spilled potatoes or anything else she needed to be done around the house. The spell's uses are nearly limitless, making it one of the most powerful charms in the Harry Potter universe. ⁠
.⁠
𝐓𝐡𝐢𝐧𝐠𝐬 𝐘𝐨𝐮 (𝐏𝐫𝐨𝐛𝐚𝐛𝐥𝐲) 𝐃𝐢𝐝𝐧'𝐭 𝐊𝐧𝐨𝐰 𝐀𝐛𝐨𝐮𝐭 𝐇𝐚𝐫𝐫𝐲 𝐏𝐨𝐭𝐭𝐞𝐫 𝐒𝐩𝐞𝐥𝐥𝐬 - Link in Bio⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠
.⁠
.⁠
.⁠
.⁠
.⁠
.⁠
.⁠
#harrypotter #harrypotterfan #harrypottermemes #harrypotterfans #harrypotterforever #harrypotterfacts #harrypotterworld #harrypotternerd #harrypotterstudios #harrypotterfilm #harrypottercollection #harrypotterandtheprisonerofazkaban #harrypotterseries #harrypottermeme #harrypottertextpost #harrypotteraesthetic #harrypotterfanpage #harrypotterfangirl #harrypotterfansforlife #harrypotterfanforlife #harrypotterfanforever #hogwarts #magic #wizardingworld #harrypotterspells #magicspells",CAROUSEL_ALBUM,166,,1777,1777,146,0,,
08-15-2022 23:30:22,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/299427496_476495750577376_8642879670161634085_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vN_81UnKcrUAX8PtuDg&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9EVDTQTkranwUPUF0sNt2dDN0OvAmac9QmapKRkhajvA&oe=6300C61A,https://www.instagram.com/p/ChTHOufJGX0/,"THAT'S why everyone in the Rohirrim goes so hard.⁠
.⁠
𝐒𝐦𝐚𝐥𝐥 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐅𝐫𝐨𝐦 '𝐓𝐡𝐞 𝐋𝐨𝐫𝐝 𝐎𝐟 𝐓𝐡𝐞 𝐑𝐢𝐧𝐠𝐬: 𝐓𝐡𝐞 𝐑𝐞𝐭𝐮𝐫𝐧 𝐎𝐟 𝐓𝐡𝐞 𝐊𝐢𝐧𝐠' 𝐓𝐡𝐚𝐭 𝐖𝐨𝐮𝐥𝐝 𝐌𝐚𝐤𝐞 𝐓𝐨𝐥𝐤𝐢𝐞𝐧 𝐏𝐫𝐨𝐮𝐝⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1952,,36400,35554,1757,12,183,
08-15-2022 20:30:16,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299494349_441982381319596_4980109889851722813_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=RN8TZd344xMAX_yYbl-&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT94kVDyu7B8qzHdTk9kry7957gaQwlwugIj3U3gmppStQ&oe=63015E56,https://www.instagram.com/p/ChSynW7udQv/,"Happy Hogan is a legend.⁠
.⁠
𝐄𝐯𝐞𝐫𝐲 𝐓𝐢𝐦𝐞 𝐇𝐚𝐩𝐩𝐲 𝐇𝐨𝐠𝐚𝐧 𝐏𝐫𝐨𝐯𝐞𝐝 𝐇𝐞 𝐖𝐚𝐬 𝐌𝐨𝐫𝐞 𝐓𝐡𝐚𝐧 𝐉𝐮𝐬𝐭 𝐓𝐨𝐧𝐲 𝐒𝐭𝐚𝐫𝐤'𝐬 𝐃𝐫𝐢𝐯𝐞𝐫 𝐈𝐧 𝐓𝐡𝐞 𝐌𝐂𝐔⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,794,,20620,19786,725,6,63,
08-15-2022 16:30:34,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/299400864_115037867858119_8068674897575280578_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Zjxz7hgZonQAX9vJSle&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8Po6o-DXT5oIDAWHrJTO-NJ2Pp1Mz1iBt_ZIrXyP6QBQ&oe=6300F15F,https://www.instagram.com/p/ChSXK8nMQZ3/,"""They came to me with the second and said, 'Look, we will pay you one-eighth of what we contractually had for you, because we think the second one will be successful with or without you.' And I called my friend - that I helped get the first job - and he didn't call me back for three months.""⁠
.⁠
𝐅𝐚𝐦𝐨𝐮𝐬 𝐀𝐜𝐭𝐨𝐫𝐬 𝐓𝐚𝐥𝐤 𝐀𝐛𝐨𝐮𝐭 𝐁𝐞𝐢𝐧𝐠 𝐅𝐢𝐫𝐞𝐝 𝐅𝐫𝐨𝐦 𝐌𝐨𝐯𝐢𝐞𝐬⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,3999,,83662,80324,3351,120,528,
08-14-2022 21:30:19,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299390435_602617074546349_4960560980582929263_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=kICFy7b3E4YAX8cpaOZ&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9P8TxQKzqgFZqLnQrtjnEYa4h9nwKII7dybZmykAicqw&oe=6300A7BA,https://www.instagram.com/p/ChQUsLwu9QS/,"Be mine or you will burn! ⁠
- ⁠
𝐅𝐚𝐧𝐬 𝐀𝐫𝐞 𝐒𝐡𝐚𝐫𝐢𝐧𝐠 𝐓𝐡𝐞𝐢𝐫 𝐃𝐞𝐞𝐩 𝐃𝐢𝐯𝐞𝐬 𝐎𝐧 𝐃𝐢𝐬𝐧𝐞𝐲 𝐂𝐡𝐚𝐫𝐚𝐜𝐭𝐞𝐫𝐬 - Link in bio!⁠
- ⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,3735,,95563,92809,3104,16,615,
08-14-2022 19:01:12,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/299169995_627271985368004_2822910932930150464_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=anHgcJ9KDpwAX958H9R&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_3ldW5Rldmy6SEK8DQTS94TL_04v7kgQt-BaQ9Jq1bpQ&oe=63012AD3,https://www.instagram.com/p/ChQDmt-Ofmr/,"The best part about this is that Aragorn grew up with elves and KNOWS how to ""elf-hug"" and is like, nope human hugs are better.⁠
- ⁠
𝐇𝐲𝐩𝐞𝐫-𝐒𝐩𝐞𝐜𝐢𝐟𝐢𝐜 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐈𝐧 '𝐋𝐨𝐫𝐝 𝐨𝐟 𝐭𝐡𝐞 𝐑𝐢𝐧𝐠𝐬' 𝐓𝐡𝐚𝐭 𝐒𝐡𝐢𝐧𝐞 𝐁𝐫𝐢𝐠𝐡𝐭𝐞𝐫 𝐓𝐡𝐚𝐧 𝐓𝐡𝐞 𝐒𝐭𝐚𝐫 𝐎𝐟 𝐄ä𝐫𝐞𝐧𝐝𝐢𝐥 - Link in bio!⁠
- ⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,7584,,108061,104222,6533,14,1037,
08-14-2022 16:30:23,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/299322551_453482476498863_1639925817745707938_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xa03DSEur8cAX-50oZX&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-PPic-PFG99FhnDHfVR5dlPd2QJg2q09ec0Srv3VYscw&oe=6300BD0B,https://www.instagram.com/p/ChPyXxfOYH_/,"""MY DARLING BOY!"" - takes on a whole new meaning...⁠
-⁠
𝟏𝟑 𝐅𝐚𝐧 𝐓𝐡𝐞𝐨𝐫𝐢𝐞𝐬 𝐀𝐛𝐨𝐮𝐭 𝐓𝐡𝐞 𝐔𝐧𝐝𝐞𝐫𝐫𝐚𝐭𝐞𝐝 𝐕𝐢𝐥𝐥𝐚𝐢𝐧𝐬 𝐈𝐧 '𝐇𝐚𝐫𝐫𝐲 𝐏𝐨𝐭𝐭𝐞𝐫' 𝐓𝐡𝐚𝐭'𝐥𝐥 𝐒𝐞𝐭 𝐘𝐨𝐮𝐫 𝐓𝐞𝐞𝐭𝐡 𝐎𝐧 𝐄𝐝𝐠𝐞 - Link in bio!⁠
- ⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1336,,52596,50795,1108,20,208,
08-14-2022 01:30:16,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298950426_1425288694632583_2020279679956085673_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=OxJL0sOzgOsAX8aKwdz&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8iFBQiZvlSFltIRSEougD285_wtQ07h0u1rOYKMZBofQ&oe=63009020,https://www.instagram.com/p/ChOLW3uuqN7/,"Do robots dream of electric sheep?⁠
⁠
𝟏𝟑 𝐒𝐦𝐚𝐥𝐥 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐈𝐧 '𝐖𝐞𝐬𝐭𝐰𝐨𝐫𝐥𝐝' 𝐓𝐡𝐚𝐭 𝐌𝐚𝐤𝐞 𝐓𝐡𝐞 𝐒𝐡𝐨𝐰 𝐖𝐚𝐲 𝐁𝐞𝐭𝐭𝐞𝐫 – Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1237,,53749,53098,1100,18,119,
08-14-2022 00:00:40,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298989302_497119328802642_9054796242941064462_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=lyc_HWSFglQAX9LVk7m&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-CqDoPQMbCwpFXvPM4V_TNO9OMZY1fUnJHWsX_Yjd-tA&oe=63007878,https://www.instagram.com/p/ChOBGaiOcpp/,"Possibly the most relatable villain ever. ⁠
⁠
𝐅𝐚𝐧𝐬 𝐒𝐡𝐚𝐫𝐞 𝐓𝐡𝐢𝐧𝐠𝐬 𝐀𝐛𝐨𝐮𝐭 '𝟗𝟎𝐬 𝐂𝐚𝐫𝐭𝐨𝐨𝐧𝐬 𝐓𝐡𝐚𝐭 𝐌𝐚𝐝𝐞 𝐔𝐬 𝐅𝐞𝐞𝐥 𝐍𝐨𝐬𝐭𝐚𝐥𝐠𝐢𝐜⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,3142,,47906,45811,2859,6,277,
08-13-2022 20:30:12,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299027911_1216510195590539_483785644816249216_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=E3b1NzRWTl8AX8JHfhd&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_wDb8JduXVpImJTXr3r6LppJZeZ1rUMrrupSdl0TFJuw&oe=6301698F,https://www.instagram.com/p/ChNpBcAurZp/,Live action? Animated?⁠,IMAGE,507,,16439,15753,413,58,36,
