Time Posted,Image URL,Instagram Post ,Caption,Media Type,Engagement,Followers,Impressions,Reach,Likes,Comments,Saves,Video Views
08-11-2022 19:45:13,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298436018_601405671335389_2800443288801543307_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=EVYHNG3mYM4AX_Izlm_&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9-oJ2_pNsNwY5J-NETwHJT5qlb1oBujdmbiVWuNUKh7w&oe=62F9A5CD,https://www.instagram.com/p/ChIaSNfOttH/,"adopting this headcanon⁠
⁠
𝟏𝟓 𝐇𝐞𝐚𝐝𝐜𝐚𝐧𝐨𝐧𝐬 𝐀𝐛𝐨𝐮𝐭 𝐂𝐚𝐩𝐭𝐚𝐢𝐧 𝐀𝐦𝐞𝐫𝐢𝐜𝐚 𝐓𝐡𝐚𝐭 𝐀𝐜𝐭𝐮𝐚𝐥𝐥𝐲 𝐌𝐚𝐤𝐞 𝐒𝐞𝐧𝐬𝐞⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1804,,19923,19492,1570,40,194,
08-11-2022 01:00:40,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298217613_473085877581209_6486597841718905522_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rQFuBH7hqIAAX92HCjN&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT98MT4bwp49P7Ardy8jQ314DCXWyMNvRHTC6lLtedx6jQ&oe=62FA001D,https://www.instagram.com/p/ChGZlTlucjy/,"Does anyone else think this show is super underrated?⁠
⁠
𝟏𝟓 𝐔𝐧𝐝𝐞𝐫𝐫𝐚𝐭𝐞𝐝 𝐋𝐚𝐭𝐞 '𝟗𝟎𝐬 𝐂𝐚𝐫𝐭𝐨𝐨𝐧𝐬 𝐓𝐡𝐚𝐭 𝐑𝐞𝐚𝐥𝐥𝐲 𝐁𝐫𝐢𝐧𝐠 𝐔𝐬 𝐁𝐚𝐜𝐤⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,5414,,83627,81178,4515,114,785,
08-10-2022 23:30:19,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298602136_5523605487701558_6449918870434795855_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=h69pD5aH3S8AX8iriVk&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9G07DTHbePKysWxk8w5Kk2sdDiBZAbcM8HGoYr6t_oHA&oe=62FA033C,https://www.instagram.com/p/ChGPP2duIck/,"Who else remembers this show?⁠
⁠
𝟏𝟖 𝐑𝐚𝐧𝐝𝐨𝐦 𝐀𝐧𝐝 𝐖𝐞𝐢𝐫𝐝 '𝟗𝟎𝐬 𝐋𝐢𝐯𝐞-𝐀𝐜𝐭𝐢𝐨𝐧 𝐊𝐢𝐝𝐬' 𝐓𝐕 𝐒𝐡𝐨𝐰𝐬 𝐘𝐨𝐮 (𝐏𝐫𝐨𝐛𝐚𝐛𝐥𝐲) 𝐅𝐨𝐫𝐠𝐨𝐭 𝐄𝐱𝐢𝐬𝐭𝐞𝐝⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1575,,41596,40917,1341,50,184,
08-10-2022 22:01:15,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298201117_377762577762782_5234024362386520112_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=b-fbGElqhbIAX_UwpVy&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8_F9CIwT-8SpgRgv9Plw4eK4kgEA5cN5WPdu1PEuzshQ&oe=62FA9CB5,https://www.instagram.com/p/ChGFB1IuIrU/,"Who are you looking forward to potentially joining the MCU?⁠
⁠
𝟏𝟕 𝐒𝐭𝐫𝐨𝐧𝐠𝐞𝐬𝐭 𝐂𝐨𝐬𝐦𝐢𝐜-𝐋𝐞𝐯𝐞𝐥 𝐓𝐡𝐫𝐞𝐚𝐭𝐬 𝐀𝐜𝐜𝐨𝐫𝐝𝐢𝐧𝐠 𝐓𝐨 𝐌𝐚𝐫𝐯𝐞𝐥 𝐂𝐨𝐦𝐢𝐜𝐬⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,646,,21024,20834,570,9,67,
08-10-2022 20:30:18,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298818401_507200211072745_4145398233528278909_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=eP-0-U0sDZoAX9tMMI6&_nc_oc=AQnq_hXYDYwwb9en-ADBoOrdVY1UP7ZwjSf_fRkhPdTujXJpBp5HNju7-dCgJNPTOnpxWyJL5i0uHmiNDCVI-GJi&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9K6Y8AvOGvQf9pMTqJHoyaN-hI3dbCGfbAj3bMBaIRjw&oe=62F9AEF9,https://www.instagram.com/p/ChF6peTuEfP/,Who deserves their moment on the big screen?,IMAGE,373,,10298,10044,308,44,21,
08-09-2022 23:56:55,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298491369_3228523630766059_7575172016918893594_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=FdL0SZR4LhEAX9hCxeI&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-rdkRAzvViqWElQrNfZgUUpm6Wem54xOOhYsbeIgBNgA&oe=62FA5B55,https://www.instagram.com/p/ChDtf0Xujx9/,"""If that [cockroach[ was really supposed to be folded up inside me, it’d be pretty difficult to get around. So I had my legs locked off, which was my own concoction. I went out and bought two basketball knee braces and locked off my knees and ankles so they couldn’t move up or down or to the side. The first week or so of shooting, that was under my costume. I had to force myself to move and make portions of my body react to each other involuntarily, so you knew something else was happening inside my body."" - Vincent D'Onofrio on his character in 'Men In Black'⁠
.⁠
𝐒𝐦𝐚𝐥𝐥 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐈𝐧 '𝐌𝐞𝐧 𝐢𝐧 𝐁𝐥𝐚𝐜𝐤' 𝐓𝐡𝐚𝐭 𝐅𝐚𝐧𝐬 𝐍𝐨𝐭𝐢𝐜𝐞𝐝- Link in Bio⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠",IMAGE,4004,,96856,94833,3460,26,518,
08-08-2022 23:30:23,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297847360_734118684556189_7125391560330933700_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=SOtaHyzOR8kAX_e2Nfj&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT92dX4r9UU6TfTFjCHapgRUJo6IPJSpmcjee_khYdFH1g&oe=62FB52D8,https://www.instagram.com/p/ChBFqEjO6gc/,"The Yautja have been hunting on Earth for a WHILE.⁠
.⁠
𝐀 𝐂𝐨𝐦𝐩𝐥𝐞𝐭𝐞 𝐓𝐢𝐦𝐞𝐥𝐢𝐧𝐞 𝐎𝐟 𝐓𝐡𝐞 𝐌𝐚𝐧𝐲 𝐇𝐮𝐧𝐭𝐬 𝐎𝐟 𝐓𝐡𝐞 '𝐏𝐫𝐞𝐝𝐚𝐭𝐨𝐫' 𝐅𝐫𝐚𝐧𝐜𝐡𝐢𝐬𝐞⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,3238,,73515,71982,2494,31,713,
08-08-2022 20:30:18,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298127654_175838974914491_6673712159486002463_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=fdVr04ZTh-kAX8YEleL&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_8QMMlCave_yyzEFBNbx0aQwxreKNSgWGCdRjgDY-zSg&oe=62F9FF41,https://www.instagram.com/p/ChAxDJ_uQtn/,"There's a reason Nick Fury trusts her.⁠
.⁠
𝟏𝟑 𝐓𝐢𝐦𝐞𝐬 𝐌𝐂𝐔 𝐇𝐞𝐫𝐨𝐞𝐬 𝐖𝐞𝐫𝐞 𝐀𝐬 𝐂𝐨𝐥𝐝-𝐁𝐥𝐨𝐨𝐝𝐞𝐝 𝐀𝐬 𝐀 𝐕𝐢𝐥𝐥𝐚𝐢𝐧⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,7447,,145738,145738,6404,58,985,
08-08-2022 16:30:28,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298001783_1409216366253931_2842255381978132981_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=3Zmha_VZ3VAAX8qtLxD&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_Zn2VpAnsSYPJ3WiuA0shpXBCc5GktwpPO5VL64Gb6bg&oe=62FAFCA5,https://www.instagram.com/p/ChAVl8su4E1/,"Black Panther and Namor probably fight so much because they have so much in common.⁠
⁠
Get the full story from the link in bio.",IMAGE,998,,30341,29617,854,15,129,
08-07-2022 21:30:16,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297631747_186157870450907_7762922092277495258_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rPARbotrOggAX-uuJgp&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8d4ynZVIpzEj-iF5o-2moBG00yg9OA5J-57shX-7CzhQ&oe=62F99BB7,https://www.instagram.com/p/Cg-TH_Vh6f2/,"Well this would've been nice to know!⁠
- ⁠
'𝐏𝐢𝐫𝐚𝐭𝐞𝐬 𝐨𝐟 𝐭𝐡𝐞 𝐂𝐚𝐫𝐢𝐛𝐛𝐞𝐚𝐧' 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐓𝐡𝐚𝐭 𝐎𝐧𝐥𝐲 𝐑𝐞𝐚𝐥 𝐅𝐚𝐧𝐬 𝐂𝐚𝐮𝐠𝐡𝐭 - Link in bio!⁠
-⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,14268,,237019,235090,11308,104,2856,
