timestamp,thumbnail,permalink,caption,type,engagement,followers,impressions,reach,likes,comments,saves,videoViews
2022-08-11T19:45:13+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298436018_601405671335389_2800443288801543307_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=EVYHNG3mYM4AX_O6HEk&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_XeusM_p6ycOX4NwIquBjLOOKz5ebp7G1OgfU1D5HAEg&oe=62F9A5CD,https://www.instagram.com/p/ChIaSNfOttH/,"adopting this headcanon⁠
⁠
𝟏𝟓 𝐇𝐞𝐚𝐝𝐜𝐚𝐧𝐨𝐧𝐬 𝐀𝐛𝐨𝐮𝐭 𝐂𝐚𝐩𝐭𝐚𝐢𝐧 𝐀𝐦𝐞𝐫𝐢𝐜𝐚 𝐓𝐡𝐚𝐭 𝐀𝐜𝐭𝐮𝐚𝐥𝐥𝐲 𝐌𝐚𝐤𝐞 𝐒𝐞𝐧𝐬𝐞⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,74,,0,0,63,6,5,
2022-08-11T01:00:40+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298217613_473085877581209_6486597841718905522_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rQFuBH7hqIAAX8DEEiw&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_c_VPsgzAdYv3mL7QjALi2sRqdRkywG7S2tZDqJdj4EA&oe=62FA001D,https://www.instagram.com/p/ChGZlTlucjy/,"Does anyone else think this show is super underrated?⁠
⁠
𝟏𝟓 𝐔𝐧𝐝𝐞𝐫𝐫𝐚𝐭𝐞𝐝 𝐋𝐚𝐭𝐞 '𝟗𝟎𝐬 𝐂𝐚𝐫𝐭𝐨𝐨𝐧𝐬 𝐓𝐡𝐚𝐭 𝐑𝐞𝐚𝐥𝐥𝐲 𝐁𝐫𝐢𝐧𝐠 𝐔𝐬 𝐁𝐚𝐜𝐤⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,5212,,78827,75950,4360,108,744,
2022-08-10T23:30:19+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298602136_5523605487701558_6449918870434795855_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=h69pD5aH3S8AX9V24Om&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_7bMe6Md9Z8_5Nv-TBO8kgWqG_CfF0hCuMJwfKjahu_A&oe=62FA033C,https://www.instagram.com/p/ChGPP2duIck/,"Who else remembers this show?⁠
⁠
𝟏𝟖 𝐑𝐚𝐧𝐝𝐨𝐦 𝐀𝐧𝐝 𝐖𝐞𝐢𝐫𝐝 '𝟗𝟎𝐬 𝐋𝐢𝐯𝐞-𝐀𝐜𝐭𝐢𝐨𝐧 𝐊𝐢𝐝𝐬' 𝐓𝐕 𝐒𝐡𝐨𝐰𝐬 𝐘𝐨𝐮 (𝐏𝐫𝐨𝐛𝐚𝐛𝐥𝐲) 𝐅𝐨𝐫𝐠𝐨𝐭 𝐄𝐱𝐢𝐬𝐭𝐞𝐝⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,1538,,39741,38952,1311,47,180,
2022-08-10T22:01:15+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298201117_377762577762782_5234024362386520112_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=b-fbGElqhbIAX8a9qsw&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT81hT2l3gjLIk36D-KbLRGJDo92W2YiDH6K78d7cVZ8Hw&oe=62FA9CB5,https://www.instagram.com/p/ChGFB1IuIrU/,"Who are you looking forward to potentially joining the MCU?⁠
⁠
𝟏𝟕 𝐒𝐭𝐫𝐨𝐧𝐠𝐞𝐬𝐭 𝐂𝐨𝐬𝐦𝐢𝐜-𝐋𝐞𝐯𝐞𝐥 𝐓𝐡𝐫𝐞𝐚𝐭𝐬 𝐀𝐜𝐜𝐨𝐫𝐝𝐢𝐧𝐠 𝐓𝐨 𝐌𝐚𝐫𝐯𝐞𝐥 𝐂𝐨𝐦𝐢𝐜𝐬⁠
⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,625,,20142,20142,554,9,62,
2022-08-10T20:30:18+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298818401_507200211072745_4145398233528278909_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=eP-0-U0sDZoAX8mIE4Y&_nc_oc=AQlQzj0O6e89aKhAuPIMuSjYSx8gUZ-BfZERGhuxvEJrjptXVy0WAvBzAZHiQlDoViEyV82qXjsht42QW8pC6RSK&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT88D1k5lPmkYoi6I0T-tDPgqZXwJ6uBR46SAmYlm2IB4g&oe=62F9AEF9,https://www.instagram.com/p/ChF6peTuEfP/,Who deserves their moment on the big screen?,IMAGE,369,,9997,9829,304,44,21,
2022-08-09T23:56:55+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298491369_3228523630766059_7575172016918893594_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=FdL0SZR4LhEAX9kdebA&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-RjkGUYWriWBByzkz8vgYPuOpAN2tRMPzvneak9_moWw&oe=62FA5B55,https://www.instagram.com/p/ChDtf0Xujx9/,"""If that [cockroach[ was really supposed to be folded up inside me, it’d be pretty difficult to get around. So I had my legs locked off, which was my own concoction. I went out and bought two basketball knee braces and locked off my knees and ankles so they couldn’t move up or down or to the side. The first week or so of shooting, that was under my costume. I had to force myself to move and make portions of my body react to each other involuntarily, so you knew something else was happening inside my body."" - Vincent D'Onofrio on his character in 'Men In Black'⁠
.⁠
𝐒𝐦𝐚𝐥𝐥 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐈𝐧 '𝐌𝐞𝐧 𝐢𝐧 𝐁𝐥𝐚𝐜𝐤' 𝐓𝐡𝐚𝐭 𝐅𝐚𝐧𝐬 𝐍𝐨𝐭𝐢𝐜𝐞𝐝- Link in Bio⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠",IMAGE,3873,,93222,91440,3350,25,498,
2022-08-08T23:30:23+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/297847360_734118684556189_7125391560330933700_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=SOtaHyzOR8kAX_pqVVV&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_vPLioaNKHDGZm4ZN4KuKLhOHB3eWeE3cksfcVJKz-oQ&oe=62F95898,https://www.instagram.com/p/ChBFqEjO6gc/,"The Yautja have been hunting on Earth for a WHILE.⁠
.⁠
𝐀 𝐂𝐨𝐦𝐩𝐥𝐞𝐭𝐞 𝐓𝐢𝐦𝐞𝐥𝐢𝐧𝐞 𝐎𝐟 𝐓𝐡𝐞 𝐌𝐚𝐧𝐲 𝐇𝐮𝐧𝐭𝐬 𝐎𝐟 𝐓𝐡𝐞 '𝐏𝐫𝐞𝐝𝐚𝐭𝐨𝐫' 𝐅𝐫𝐚𝐧𝐜𝐡𝐢𝐬𝐞⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,3227,,73099,71477,2485,31,711,
2022-08-08T20:30:18+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/298127654_175838974914491_6673712159486002463_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=fdVr04ZTh-kAX8KMJx-&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8camAcU3YsOlDae_dmboyDIAQkCuoCXxgzRdmNZuGcxg&oe=62F9FF41,https://www.instagram.com/p/ChAxDJ_uQtn/,"There's a reason Nick Fury trusts her.⁠
.⁠
𝟏𝟑 𝐓𝐢𝐦𝐞𝐬 𝐌𝐂𝐔 𝐇𝐞𝐫𝐨𝐞𝐬 𝐖𝐞𝐫𝐞 𝐀𝐬 𝐂𝐨𝐥𝐝-𝐁𝐥𝐨𝐨𝐝𝐞𝐝 𝐀𝐬 𝐀 𝐕𝐢𝐥𝐥𝐚𝐢𝐧⁠
– Link in Bio!⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,7314,,143027,142656,6295,58,961,
2022-08-08T16:30:28+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/298001783_1409216366253931_2842255381978132981_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=3Zmha_VZ3VAAX-zZSY7&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_-RtnUD-TynioyTfgnnpR_RYIjVue6i0JSgXOY_a71Gw&oe=62FAFCA5,https://www.instagram.com/p/ChAVl8su4E1/,"Black Panther and Namor probably fight so much because they have so much in common.⁠
⁠
Get the full story from the link in bio.",IMAGE,995,,30240,29536,853,15,127,
2022-08-07T21:30:16+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/297631747_186157870450907_7762922092277495258_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rPARbotrOggAX-9boWz&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-bZgUWhsZ-bX01ijj-VmgSs6NJfCejm1huPEv3qfOptw&oe=62F99BB7,https://www.instagram.com/p/Cg-TH_Vh6f2/,"Well this would've been nice to know!⁠
- ⁠
'𝐏𝐢𝐫𝐚𝐭𝐞𝐬 𝐨𝐟 𝐭𝐡𝐞 𝐂𝐚𝐫𝐢𝐛𝐛𝐞𝐚𝐧' 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐓𝐡𝐚𝐭 𝐎𝐧𝐥𝐲 𝐑𝐞𝐚𝐥 𝐅𝐚𝐧𝐬 𝐂𝐚𝐮𝐠𝐡𝐭 - Link in bio!⁠
-⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!",IMAGE,14057,,232984,229315,11156,103,2798,
