timestamp,thumbnail,permalink,caption,type,total_interactions,followers,plays,reach,likes,comments,saves,shares
2022-08-10T22:36:30+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/298224084_796563064695204_2756150449879620091_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Ez5s_5plLo8AX_CUfZM&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8NwrQw2PT6JmSO8S6ofdidstX1H9JkKZFRnMNkBfGGxA&oe=62FB2748,https://www.instagram.com/reel/ChGIpCOD627/,"#Groot and #StarLord know how to boogie🕺
#IAmGroot’s first episode drops today on @disneyplus… who’s watching? ✋

@totalnerd_ 

#marvel #guardiansofthegalaxy #guardiansofthegalaxyvol3 #mcu #omgmcu #peterquill #stopscrolling #movies #films #marveledit #totalnerd #disneyplus #marvelcomics #dancebreak #superheroes #guardiansofthegalaxysoundtrack",VIDEO,304,,8134,8041,265,1,20,18
2022-08-09T19:36:05+0000,https://video-lax3-1.cdninstagram.com/v/t50.33967-16/298289270_371978541784856_3528839926068368424_n.mp4?_nc_cat=105&vs=612203783871530_3109944996&_nc_vs=HBksFQAYJEdIYUl4eEVZMzlnQVVGSUJBQ2hVaFZZMzlmZ3dicV9FQUFBRhUAAsgBABUAGCRHSWdFeUJIWDhIeUdDYUlBQUN3UkUzcFJaSXNBYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaKj7LW%2FtfmQBUCKAJDMywXQCwAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=GGU-kbTsv7sAX-wILN_&_nc_ht=video-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8onf3uDr3v70LUR8IvXBfu1eiajWySXu1jwzwPWalFKw&oe=62F5D915&_nc_rid=63809677b5,https://www.instagram.com/reel/ChDPWPWDskK/,"Mushu flips the newspaper from left to right because traditional Chinese text was written in columns going from right to left.

Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠ 

#disney #mulan #eddiemurphy #disneymovies #disneyplus #disneyprincess #disneychannel #disneyinsta #disneyfan #disneymagic #disneyaddict #disneyaddicts #disneyblogger #disneypixar #disneykid #disneyblogger #disneycharacters #disneymovie #disneyfans #disneyfanatic #dineyfandom #disneygeek #disneygeeks #disneynerd #disneynerds #disneynerdforlife",VIDEO,868,,22985,23242,749,5,72,42
2022-08-05T16:43:47+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/297436843_436704178396394_792494893302052957_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=nvMbqIwiy2kAX8kCX9w&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-P_l2VP48CApCjikjFj1WM0CxzP_Ro_JK4z5DBhN-MKQ&oe=62F9F076,https://www.instagram.com/reel/Cg4mKGnDG2m/,"Which project are you most excited for? 💥⬇️

@totalnerd_ 
@marvel @marvelstudios 

#mcu #marvel #totalnerd #movies #film #marvelcomics #disneyplus #superheroes #marvelphase5 #phase5 #omgmcu #marvelmovies #comiccon #reels #reelsinstagram",VIDEO,737,,24614,24401,600,10,67,60
2022-08-02T22:53:30+0000,https://video-lax3-1.cdninstagram.com/v/t50.33967-16/296726494_441256617724961_3462905073541937993_n.mp4?_nc_cat=104&vs=424302369653238_3975303996&_nc_vs=HBksFQAYJEdONnZyeEVoVFBRUFVwRUJBRWw3WFMtUnRRNHdicV9FQUFBRhUAAsgBABUAGCRHSGNtdXhFUFJfZkJYTGNDQUx4bG9tdVhZZnRQYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbIhamFopfjPxUCKAJDMywXQEHAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=iPYVFPiTd4YAX_3N6bs&_nc_ht=video-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8oYTR-hYawzDT4ghvexYUBwRdf_8P-Ov1JbfPuv-Kz9w&oe=62F5DA4C&_nc_rid=466b3192a5,https://www.instagram.com/reel/Cgxj_CpDUOo/,"It’s not looking good for #Wakanda 🫣🌊

@totalnerd_ 
@blackpanther 

#blackpanther #wakandaforever #chadwickboseman #avengers #marvel #mcu #totalnerd #comic #movies #superhero",VIDEO,1667,,43782,44005,1295,24,215,133
2022-08-02T20:09:19+0000,https://video-lax3-1.cdninstagram.com/v/t50.33967-16/297069651_1059056024787049_4003956998957127941_n.mp4?_nc_cat=105&vs=761077058545864_2507974001&_nc_vs=HBksFQAYJEdGUHN0QkZwbUNleU5NTURBQVZaeHpxdDZaQTNicV9FQUFBRhUAAsgBABUAGCRHRzdHdEJFQWI4d016bkVFQU1haWJQa2JQcndzYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaowLzrxNrdPxUCKAJDMywXQDe7peNT988YEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=7VdcjetX19AAX-ikYYt&_nc_ht=video-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_pkYQLwXVWp4fdkM6p0sn-_vzS7wAp9ss4talJc8Azrw&oe=62F5EB18&_nc_rid=724f0879f6,https://www.instagram.com/reel/CgxR1QnDph_/,"Even superhero movies can make fun of superhero movies 😂

#superhero #superheroes #superheroday #superheromemes #superherocostume #superherocomics #superheroteam #superheronerd #superheronerds #superherofilm #superherofilms #superheromovie #superheromovies #mcu #mcumemes #mcumarathon #omgmcu #mcuspiderman #mcumovies #mcufan #mcufacts #mcunerd #spidermannowayhome #spidermanhomecoming #spidermanfarfromhome #mcuvillains #avengers #avengers4",VIDEO,1034,,33614,31819,861,1,136,36
2022-08-01T14:43:55+0000,https://video-lax3-2.cdninstagram.com/v/t50.33967-16/294246346_357628079734178_7440335874312984542_n.mp4?_nc_cat=101&vs=722476132163584_4029595079&_nc_vs=HBksFQAYJEdNclhpUkdpZmFmR1FrVUJBTjVYQlo0T1lrRm5icV9FQUFBRhUAAsgBABUAGCRHQ2lqc0JGaGthc0RBVmdGQVBadEIycGZEZzk2YnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbY7Zu9rsfxPxUCKAJDMywXQCVU%2FfO2RaIYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=UEVjiAzsjdwAX_rdSuY&_nc_oc=AQlbaHHonP55wIxuZFPlAx0zMWfOoAqCKqAuvqSsEEpNCOltUZWPUZk_rCObHV_z7O07SJrWmy_6rSNkDbJ482_9&_nc_ht=video-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_VfL5aAsJSQFCxL6rq6FePRlLNBIhjlnaowlIfpXUPQQ&oe=62F5D43B&_nc_rid=d7b59b0f5a,https://www.instagram.com/reel/CguHRIoDtaz/,"HOW is it August already? 🤨

@totalnerd_ 
@wbpictures 

#harrypotter #gryffindor #summer #summerbreak #warnerbrospictures #movies #film #wizard #totalnerd #wizardingworld #hogwarts #halfbloodprince #prisonerofazkaban #auntmarge #felixfelicis #liquidluck #summerproblems",VIDEO,945,,30984,29730,785,5,91,64
2022-07-27T19:38:10+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/295770380_573342857592301_1771930815977093420_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JJ6NPkiXK8wAX8iqGaw&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_UyM864yh1SY17_AL9tKDToaqxfMDxiOu9yAVgYAU2xA&oe=62FA9444,https://www.instagram.com/reel/CghxbR2jYy_/,Pokémon fans were IN HEAVEN at San Diego Comic-Con!,VIDEO,505,,20076,20776,409,1,34,61
2022-07-27T17:57:59+0000,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/295936386_1654307148284019_3513692036974109260_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TKa_3pE6p-kAX_Qzihg&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8J5Esc3_2U5A3lZTumNTQp0acpXghMa6AYmCp_I-9BXw&oe=62F9B32E,https://www.instagram.com/reel/CghlmICj48K/,"The Golden Trio in the first film vs the last films… Who’s your favorite #HarryPotter character?

@totalnerd_ 

#hp #goldentrio #hermionegranger #ronweasley #harrypotteredit #totalnerd #movies #film #warnerbros #wizardingworld #magic #gryffindor #sorcerersstone #deathlyhallows #witch #wizard #hogwarts",VIDEO,953,,21834,22070,851,6,75,21
2022-07-26T17:59:52+0000,https://video-lax3-1.cdninstagram.com/v/t50.33967-16/295331401_800124494487846_5952207335881082644_n.mp4?_nc_cat=105&vs=369471225312409_1318515327&_nc_vs=HBksFQAYJEdFbG1taEVtSVVXQXRkY0NBQlNIcWl3SmZacFNicV9FQUFBRhUAAsgBABUAGCRHQVk1b1JIZXJhckRRdVlCQU1yRjJXNGtNbEVLYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACb0xbbjvafePxUCKAJDMywXQCbul41P3zsYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=NYpRa-yomkgAX_3soHe&_nc_oc=AQl2Vc11pBzPfJ4woX6zMKpQ1DiVTDRGdOrv9pvx5EObySFTUa48fSkmo2jetYBy-KzrdI5IWartyhs6mdbYibKH&_nc_ht=video-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9Cw2xExy97yvzuHXxeTeqFoOtrPEfqh-BRftLu7euVLg&oe=62F60277&_nc_rid=1bcb20ecd5,https://www.instagram.com/reel/CgfAf6EDQfr/,"Between Shuri, Nakia, Okoye, M’Baku, and Ramonda, who do you think is the next Black Panther?

@totalnerd_ 
@blackpanther 

#blackpanther #wakandaforever #blackpantherwakandaforever #marvel #mcu #avengers #sdcc #comiccon #comics #superhero #chadwickboseman #danaigurira #winstonduke #lupitanyongo #letitiawright #angelabassett #phase4 #tchalla",VIDEO,581,,20320,20218,488,33,43,17
2022-07-25T16:26:24+0000,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/295275732_764662838010983_218449203468962036_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7jyX9_-S3UMAX8hRrjG&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_aeE1sz6bpRcbIhT3Yt8tSagAwYti_EAIwJXpWVmen_A&oe=62F97754,https://www.instagram.com/reel/CgcR-vyFXcG/,How is everyone at San Diego Comic-Con so creative?!,VIDEO,2214,,39435,39708,1903,12,100,199
