Time Posted,Image URL,Instagram Post,Caption,Media Type,Reach,Plays,Total Interactions,Likes,Comments,Saves,Shares,Hashtags
08-16-2022 17:33:28,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299772816_724458398647743_7523433924478486261_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=S0asCoBy2YkAX_HwfwM&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8EM_IUBWnZa8618vFt-3xeoQl2KmG-ikN3DJjq0hcX7w&oe=630154A6,https://www.instagram.com/reel/ChVC3SFFCuc/,"Thor has a serious grudge against Thanos' head, and for good reason⁠
.⁠
.⁠
.⁠
𝐒𝐦𝐚𝐥𝐥 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐅𝐚𝐧𝐬 𝐍𝐨𝐭𝐢𝐜𝐞𝐝 𝐈𝐧 𝐀𝐜𝐭𝐢𝐨𝐧 𝐌𝐨𝐯𝐢𝐞 𝐅𝐢𝐠𝐡𝐭 𝐒𝐜𝐞𝐧𝐞𝐬 - Link in Bio⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠
.⁠
.⁠
.⁠
#thor #thorloveandthunder #thor4 #endgame #avengers #avengersendgame #thanos #thanosdidnothingwrong #taikawaititi #chrishemsworth #mcu #mcumemes #mcunews #mcucast #accuratemcu #mcuseries #mcunerd #mcuvillains #avengers4 #avengersageofultron #theavengers #avengersmovie #avengersfan",VIDEO,4112,4159,353,275,0,11,67,
08-16-2022 15:27:08,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299359177_193072969818894_9047594855659673301_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=g2Q6IOk-0wAAX-vPtwc&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT88voJMpxeLUDbBmBp3lYMx1rOFSNr54JwsA9WmFzvL3Q&oe=630043A0,https://www.instagram.com/reel/ChU0OzYjYSd/,"This @shangchi scene definitely goes down in @marvel history 🔥🚎

@totalnerd_ 

#shangchi #shangchiandthelegendofthetenrings #marvel #mcu #marvelstudios #omgmcu #movies #films #marvelmovies #superheroes #reels #reelsinstagram #totalnerd #nerd #marvelcomics #disneyplus #underrated #actionscene #moviedetails",VIDEO,20136,21738,868,746,3,90,29,
08-15-2022 14:31:38,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299632115_430233019139741_4593263133195037057_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=OHzbgVOeyDsAX-uTZza&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8tmw3dwqIbxyoijm-qkET6mlIC6jhsyxtpft997PGSdw&oe=6300C1DD,https://www.instagram.com/reel/ChSJTK8DyvR/,"Out of sight, out of mind. ¯\_(ツ)_/¯ 

@totalnerd_ 

#groot #iamgroot #guardiansofthegalaxy #guardiansofthegalaxyvol3 #marvel #mcu #marvelstudios #omgmcu #movies #films #actionmovies #reels #totalnerd #disneyplus #meme #mrbluesky #funny #nerd",VIDEO,67817,69225,5556,4099,5,507,945,
08-12-2022 18:31:34,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299195843_836225770693043_6688071000135359708_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=2BwR-aYKTe4AX_aJfC_&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8zz_pLKQe5XRTNyPBHdMDLKOUNCjkWwrdtIPXSHuwGhQ&oe=6301B084,https://www.instagram.com/reel/ChK1o6TDmIx/,"A lot of injuries were involved in the making of these movies…

@totalnerd_ 
@ranker 

#lordoftherings #LOTR #tolkien #fantasy #hobbit #elves #totalnerd #jrrtolkien #middleearth #fellowshipofthering #returnoftheking #thetwotowers #aragorn #gandalf #bilbo #wizards #theshire #theringsofpower",VIDEO,80926,82701,5994,3829,16,1445,704,
08-10-2022 22:36:30,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/298224084_796563064695204_2756150449879620091_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ofMDusfo8FYAX-J5ewm&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9Kfl5K9OR00-XAtKL4uxAg2ULdilMnbQ2HtF_LYBzcEA&oe=63011608,https://www.instagram.com/reel/ChGIpCOD627/,"#Groot and #StarLord know how to boogie🕺
#IAmGroot’s first episode drops today on @disneyplus… who’s watching? ✋

@totalnerd_ 

#marvel #guardiansofthegalaxy #guardiansofthegalaxyvol3 #mcu #omgmcu #peterquill #stopscrolling #movies #films #marveledit #totalnerd #disneyplus #marvelcomics #dancebreak #superheroes #guardiansofthegalaxysoundtrack",VIDEO,13402,14144,457,364,2,34,57,
08-09-2022 19:36:05,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/298361930_1381354182355535_220397213263619187_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=-XerbYBufYsAX90mA7s&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9cj7M5EI4Ylw9ODulsn-N72sLGtQ1ix5FQ5SBtIUW-RA&oe=6301AAFB,https://www.instagram.com/reel/ChDPWPWDskK/,"Mushu flips the newspaper from left to right because traditional Chinese text was written in columns going from right to left.

Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠ 

#disney #mulan #eddiemurphy #disneymovies #disneyplus #disneyprincess #disneychannel #disneyinsta #disneyfan #disneymagic #disneyaddict #disneyaddicts #disneyblogger #disneypixar #disneykid #disneyblogger #disneycharacters #disneymovie #disneyfans #disneyfanatic #dineyfandom #disneygeek #disneygeeks #disneynerd #disneynerds #disneynerdforlife",VIDEO,26319,25989,942,814,6,80,42,
08-05-2022 16:43:47,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/297436843_436704178396394_792494893302052957_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=kUzexNhgbUAAX9El2lT&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT--dPGkhLgfUcsqWdUvi2EEk8f49nSaW_uH3v4YBbsBoA&oe=6301D976,https://www.instagram.com/reel/Cg4mKGnDG2m/,"Which project are you most excited for? 💥⬇️

@totalnerd_ 
@marvel @marvelstudios 

#mcu #marvel #totalnerd #movies #film #marvelcomics #disneyplus #superheroes #marvelphase5 #phase5 #omgmcu #marvelmovies #comiccon #reels #reelsinstagram",VIDEO,25446,25759,746,606,10,70,60,
08-02-2022 22:53:30,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/297069187_511393950756303_8329689112936758797_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=gT_SPJ5_fjEAX-E1FEF&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9P1DwkZ5KfVZd05Xpg--XSiZvvvr-7_7Yy3r__l7tB7g&oe=6301DE89,https://www.instagram.com/reel/Cgxj_CpDUOo/,"It’s not looking good for #Wakanda 🫣🌊

@totalnerd_ 
@blackpanther 

#blackpanther #wakandaforever #chadwickboseman #avengers #marvel #mcu #totalnerd #comic #movies #superhero",VIDEO,47844,47150,1712,1319,24,231,138,"I got a cool giant print of the  the submariner attacks, ironman#54 .. So be good to see him in a live adaption. 9bvs missed my chance to see him fight downeys ironman but the multiverse could fix that."
08-02-2022 20:09:19,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/296895745_594504622051780_4515598317675355819_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xUhAGeoycZcAX9Gb5Sp&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8KTE_7XZabdNMpixSesgYEpKh-v4uvWoFSeAjdzH7J9Q&oe=63008AF8,https://www.instagram.com/reel/CgxR1QnDph_/,"Even superhero movies can make fun of superhero movies 😂

#superhero #superheroes #superheroday #superheromemes #superherocostume #superherocomics #superheroteam #superheronerd #superheronerds #superherofilm #superherofilms #superheromovie #superheromovies #mcu #mcumemes #mcumarathon #omgmcu #mcuspiderman #mcumovies #mcufan #mcufacts #mcunerd #spidermannowayhome #spidermanhomecoming #spidermanfarfromhome #mcuvillains #avengers #avengers4",VIDEO,33706,35453,1075,885,1,150,39,
08-01-2022 14:43:55,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/296398818_147192484597538_4636818422690247852_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=RgMAAQbaYfMAX_Miqqi&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-FCzn8RyDq1hajzGa0K7mE8uSbPTylEIR1_a0KLM3KYQ&oe=6301D6DD,https://www.instagram.com/reel/CguHRIoDtaz/,"HOW is it August already? 🤨

@totalnerd_ 
@wbpictures 

#harrypotter #gryffindor #summer #summerbreak #warnerbrospictures #movies #film #wizard #totalnerd #wizardingworld #hogwarts #halfbloodprince #prisonerofazkaban #auntmarge #felixfelicis #liquidluck #summerproblems",VIDEO,30053,31332,954,789,5,95,65,
07-27-2022 19:38:10,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/295770380_573342857592301_1771930815977093420_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Ux62mKvHrJkAX8j7h0G&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9LgDDO36G3ssfYF0QLW7Q642oJUz-U1MLqAR0Lht4mCQ&oe=63008304,https://www.instagram.com/reel/CghxbR2jYy_/,Pokémon fans were IN HEAVEN at San Diego Comic-Con!,VIDEO,21033,20347,507,411,1,34,61,
