Time Posted,Image URL,Instagram Post,Caption,Media Type,Reach,Plays,Total Interactions,Likes,Comments,Saves,Shares,Hashtags,Hashtag Count
08-22-2022 18:43:11,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/300756398_609359310567988_1454154200332440519_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=btvqc0pS3WIAX_k7myY&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9B1TbBpMzuYTGaGkS2xzFSdxReSh2BEhR_KuByHe30tQ&oe=630B19C2,https://www.instagram.com/reel/ChknmkLDQRG/,"Stan Lee was a real one for this 😎⁠
⁠
⁠
@totalnerd_⁠
⁠
⁠
#stanlee #totalnerd #marvel #mcu #omgmcu #marvelcomics #marvelmovies #movies #ironman #robertdowneyjr #rhodey #tonystark #iloveyou3000 #tonystank #avengers #infinitystones #shehulk #iamgroot #marvelstudios #nerd #meme",VIDEO,37696,39010,3534,3002,12,278,242,#stanlee #totalnerd #marvel #mcu #omgmcu #marvelcomics #marvelmovies #movies #ironman #robertdowneyjr #rhodey #tonystark #iloveyou3000 #tonystank #avengers #infinitystones #shehulk #iamgroot #marvelstudios #nerd #meme,21
08-19-2022 16:18:08,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299787572_7986375138103628_2388548434783383692_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vV0rBwQ7kf8AX8lkkF8&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8ZGsGAyz_dVE24iLR_4Agoexo2VOlykIk8vmb_ZvqdvQ&oe=630A017D,https://www.instagram.com/reel/ChcoosTl90B/,"Good luck, #KevinFeige, we're counting on you. 😬⁠
⁠
⁠
@totalnerd_⁠
⁠
⁠
#marvel #marvelstudios #omgmcu #phase4 #phase5 #phase6 #avengers #plotholes #meme #movies #film #superheroes #avengersassemble #endgame #marvelcomics #comiccon #doctorstrange #totalnerd #iamgroot #shehulk",VIDEO,76634,75782,6371,5096,31,510,734,"#KevinFeige, #marvel #marvelstudios #omgmcu #phase4 #phase5 #phase6 #avengers #plotholes #meme #movies #film #superheroes #avengersassemble #endgame #marvelcomics #comiccon #doctorstrange #totalnerd #iamgroot #shehulk",21
08-18-2022 20:02:42,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/299794331_1496715704111397_6448405798225021091_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=SpB8VErGIkIAX8I0yKa&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-fyHVpmp91PHVwljIB3n1iRz__8RJuDI9SE44XMuH-Mg&oe=6309E93A,https://www.instagram.com/reel/ChadxufD6Ez/,"Thoughts on Abomination making an appearance in @shehulkofficial 🧌 

@totalnerd_ 
@ranker

#marvel #thehulk #shehulk #mcu #mcuedit #blackbolt #ironman #shangchi #ranker #totalnerd #doctorstrange #themarvels",VIDEO,68295,68148,3658,3042,21,453,142,#marvel #thehulk #shehulk #mcu #mcuedit #blackbolt #ironman #shangchi #ranker #totalnerd #doctorstrange #themarvels,12
08-18-2022 16:13:26,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299725071_3281525038758621_1623722929870046458_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=89bowhW_YuQAX-FN_zy&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT_f_BYIbSUEXIAWthnCwDiJVCoBJc-pDfxDn9I5-ZJggQ&oe=630B0ABA,https://www.instagram.com/reel/ChaDVENjWs7/,"Hulks - they’re just like us!

@totalnerd_ 
@shehulkofficial 

#hulk #shehulk #shehulkattorneyatlaw #tatianamaslany #brucebanner #markruffalo #jenniferwalters #totalnerd #marvel #mcu #marvelstudios #omgmcu #marvelcomics #disneyplus #superheroes #wow #hulksmash #nerd #streaming",VIDEO,67099,65413,2870,2318,29,310,213,#hulk #shehulk #shehulkattorneyatlaw #tatianamaslany #brucebanner #markruffalo #jenniferwalters #totalnerd #marvel #mcu #marvelstudios #omgmcu #marvelcomics #disneyplus #superheroes #wow #hulksmash #nerd #streaming,19
08-17-2022 19:40:06,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299684334_577674680707374_174847671086783085_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Bc6AyFgXZMIAX9qOvUL&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-FQYWD4LmUHNVAjhiJMPk5xKLw24FKnZvC5F192qleUQ&oe=630B360F,https://www.instagram.com/reel/ChX2b-rjJg_/,"The real snap is when the plastic bags rip while you're climbing the stairs 😤⁠
.⁠
.⁠
.⁠
.⁠
#hulk #shehulk #shehulkattorneyatlaw #endgame #mcu #mcumemes #mcureels #hulkmemes #mcupost #disneyplus #disney #marvel #marvelcomics",VIDEO,63737,65933,4369,3259,24,297,789,#hulk #shehulk #shehulkattorneyatlaw #endgame #mcu #mcumemes #mcureels #hulkmemes #mcupost #disneyplus #disney #marvel #marvelcomics,13
08-16-2022 17:33:28,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/299772816_724458398647743_7523433924478486261_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TMjMPCL8d8oAX8CGP1X&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8w154rIgTeL4D2Idfl1A7R3KjBfFvo8A3jMS62Djlpmw&oe=630B37E6,https://www.instagram.com/reel/ChVC3SFFCuc/,"Thor has a serious grudge against Thanos' head, and for good reason⁠
.⁠
.⁠
.⁠
𝐒𝐦𝐚𝐥𝐥 𝐃𝐞𝐭𝐚𝐢𝐥𝐬 𝐅𝐚𝐧𝐬 𝐍𝐨𝐭𝐢𝐜𝐞𝐝 𝐈𝐧 𝐀𝐜𝐭𝐢𝐨𝐧 𝐌𝐨𝐯𝐢𝐞 𝐅𝐢𝐠𝐡𝐭 𝐒𝐜𝐞𝐧𝐞𝐬 - Link in Bio⁠
.⁠
.⁠
Follow @totalnerd_ for more posts about movies, TV, and all things nerdy!⁠
.⁠
.⁠
.⁠
#thor #thorloveandthunder #thor4 #endgame #avengers #avengersendgame #thanos #thanosdidnothingwrong #taikawaititi #chrishemsworth #mcu #mcumemes #mcunews #mcucast #accuratemcu #mcuseries #mcunerd #mcuvillains #avengers4 #avengersageofultron #theavengers #avengersmovie #avengersfan",VIDEO,5152,4960,372,291,0,14,67,#thor #thorloveandthunder #thor4 #endgame #avengers #avengersendgame #thanos #thanosdidnothingwrong #taikawaititi #chrishemsworth #mcu #mcumemes #mcunews #mcucast #accuratemcu #mcuseries #mcunerd #mcuvillains #avengers4 #avengersageofultron #theavengers #avengersmovie #avengersfan,23
08-16-2022 15:27:08,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299359177_193072969818894_9047594855659673301_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XNiN2BvlUt4AX-Hlt9n&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT9VgKSPRvHSa9Wmy5rHbO_t1NGXhpJ8i6Fobi1VANCzQQ&oe=630A26E0,https://www.instagram.com/reel/ChU0OzYjYSd/,"This @shangchi scene definitely goes down in @marvel history 🔥🚎

@totalnerd_ 

#shangchi #shangchiandthelegendofthetenrings #marvel #mcu #marvelstudios #omgmcu #movies #films #marvelmovies #superheroes #reels #reelsinstagram #totalnerd #nerd #marvelcomics #disneyplus #underrated #actionscene #moviedetails",VIDEO,42106,44030,1619,1391,11,171,46,#shangchi #shangchiandthelegendofthetenrings #marvel #mcu #marvelstudios #omgmcu #movies #films #marvelmovies #superheroes #reels #reelsinstagram #totalnerd #nerd #marvelcomics #disneyplus #underrated #actionscene #moviedetails,19
08-15-2022 14:31:38,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299632115_430233019139741_4593263133195037057_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Ohkow3NSQ1oAX9X2pu0&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT-tGGgSlw6Icf03oeQ7SZnURFfdGzRp05cCC_t1jFG1Cw&oe=630AA51D,https://www.instagram.com/reel/ChSJTK8DyvR/,"Out of sight, out of mind. ¯\_(ツ)_/¯ 

@totalnerd_ 

#groot #iamgroot #guardiansofthegalaxy #guardiansofthegalaxyvol3 #marvel #mcu #marvelstudios #omgmcu #movies #films #actionmovies #reels #totalnerd #disneyplus #meme #mrbluesky #funny #nerd",VIDEO,82372,84489,6504,4745,7,591,1161,#groot #iamgroot #guardiansofthegalaxy #guardiansofthegalaxyvol3 #marvel #mcu #marvelstudios #omgmcu #movies #films #actionmovies #reels #totalnerd #disneyplus #meme #mrbluesky #funny #nerd,18
08-12-2022 18:31:34,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/299195843_836225770693043_6688071000135359708_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=5BxZ4FdHfCMAX-L_bqJ&_nc_ht=scontent-lax3-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8dbfPmpnVuCWnIVQ5rzA43VJNp4Ig263PVGfX9dSYCRw&oe=63099984,https://www.instagram.com/reel/ChK1o6TDmIx/,"A lot of injuries were involved in the making of these movies…

@totalnerd_ 
@ranker 

#lordoftherings #LOTR #tolkien #fantasy #hobbit #elves #totalnerd #jrrtolkien #middleearth #fellowshipofthering #returnoftheking #thetwotowers #aragorn #gandalf #bilbo #wizards #theshire #theringsofpower",VIDEO,83290,85050,6112,3897,16,1476,723,#lordoftherings #LOTR #tolkien #fantasy #hobbit #elves #totalnerd #jrrtolkien #middleearth #fellowshipofthering #returnoftheking #thetwotowers #aragorn #gandalf #bilbo #wizards #theshire #theringsofpower,18
08-10-2022 22:36:30,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/298224084_796563064695204_2756150449879620091_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=78VpXcNyrnIAX9YppD2&_nc_ht=scontent-lax3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AT8Ijd-SD7VsFsjrxMtL-ZjR10Elw-TL5JH7FwalAzb9Hg&oe=630AF948,https://www.instagram.com/reel/ChGIpCOD627/,"#Groot and #StarLord know how to boogie🕺
#IAmGroot’s first episode drops today on @disneyplus… who’s watching? ✋

@totalnerd_ 

#marvel #guardiansofthegalaxy #guardiansofthegalaxyvol3 #mcu #omgmcu #peterquill #stopscrolling #movies #films #marveledit #totalnerd #disneyplus #marvelcomics #dancebreak #superheroes #guardiansofthegalaxysoundtrack",VIDEO,13999,14611,464,368,2,33,61,#Groot #StarLord #IAmGroot’s #marvel #guardiansofthegalaxy #guardiansofthegalaxyvol3 #mcu #omgmcu #peterquill #stopscrolling #movies #films #marveledit #totalnerd #disneyplus #marvelcomics #dancebreak #superheroes #guardiansofthegalaxysoundtrack,19
